"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\user\Desktop\Nextjs\shibamdas\src\app\about\page.js", "JavaScript", 16, 0, 0, 2, 18
"c:\Users\user\Desktop\Nextjs\shibamdas\src\app\components\Container.js", "JavaScript", 174, 0, 0, 13, 187
"c:\Users\user\Desktop\Nextjs\shibamdas\src\app\components\Footer.js", "JavaScript", 20, 0, 0, 2, 22
"c:\Users\user\Desktop\Nextjs\shibamdas\src\app\components\Header.js", "JavaScript", 14, 0, 0, 1, 15
"c:\Users\user\Desktop\Nextjs\shibamdas\src\app\components\Navbar.js", "JavaScript", 56, 0, 3, 7, 66
"c:\Users\user\Desktop\Nextjs\shibamdas\src\app\components\about.js", "JavaScript", 69, 0, 4, 3, 76
"c:\Users\user\Desktop\Nextjs\shibamdas\src\app\globals.css", "CSS", 0, 34, 0, 6, 40
"c:\Users\user\Desktop\Nextjs\shibamdas\src\app\layout.js", "JavaScript", 29, 0, 0, 6, 35
"c:\Users\user\Desktop\Nextjs\shibamdas\src\app\page.js", "JavaScript", 9, 0, 0, 2, 11
"c:\Users\user\Desktop\Nextjs\shibamdas\src\app\pages\_app.js", "JavaScript", 15, 0, 0, 3, 18
"Total", "-", 402, 34, 7, 45, 488
